"genre","year","count"
"Théâtre","1979","57"
"Roman","1979","20"
"Littérature française","1979","27"
"Chansons françaises","1979","31"
"Poésie","1979","36"
"Roman","1980","25"
"Chansons françaises","1980","35"
"Littérature française","1980","31"
"Théâtre","1980","88"
"Littérature","1980","28"
"Poésie","1980","42"
"Littérature","1981","26"
"Théâtre","1981","83"
"Chansons françaises","1981","56"
"Roman","1981","39"
"Littérature française","1981","37"
"Poésie","1981","40"
"Théâtre","1982","68"
"Chansons françaises","1982","31"
"Roman","1982","21"
"Poésie","1982","48"
"Littérature","1982","41"
"Littérature française","1982","44"
"Chansons françaises","1983","18"
"Littérature","1983","43"
"Roman","1983","35"
"Littérature française","1983","20"
"Poésie","1983","55"
"Théâtre","1983","63"
"Littérature française","1984","52"
"Théâtre","1984","89"
"Chansons françaises","1984","23"
"Roman","1984","37"
"Poésie","1984","53"
"Littérature","1984","42"
"Littérature française","1985","56"
"Roman","1985","34"
"Littérature","1985","38"
"Théâtre","1985","86"
"Poésie","1985","39"
"Chansons françaises","1985","7"
"Théâtre","1986","92"
"Littérature","1986","37"
"Chansons françaises","1986","10"
"Poésie","1986","44"
"Roman","1986","42"
"Littérature française","1986","44"
"Littérature française","1987","42"
"Théâtre","1987","71"
"Littérature","1987","43"
"Poésie","1987","41"
"Chansons françaises","1987","19"
"Roman","1987","36"
"Chansons françaises","1988","42"
"Littérature","1988","41"
"Roman","1988","49"
"Littérature française","1988","43"
"Théâtre","1988","86"
"Poésie","1988","40"
"Roman","1989","48"
"Littérature française","1989","49"
"Poésie","1989","63"
"Théâtre","1989","109"
"Littérature","1989","48"
"Chansons françaises","1989","120"
"Chansons françaises","1990","372"
"Littérature","1990","57"
"Poésie","1990","49"
"Théâtre","1990","130"
"Littérature française","1990","62"
"Roman","1990","79"
"Roman","1991","82"
"Théâtre","1991","128"
"Littérature","1991","53"
"Littérature française","1991","68"
"Chansons françaises","1991","644"
"Poésie","1991","65"
"Chansons françaises","1992","685"
"Poésie","1992","62"
"Littérature","1992","72"
"Littérature française","1992","66"
"Roman","1992","96"
"Théâtre","1992","138"
"Roman","1993","72"
"Littérature","1993","63"
"Théâtre","1993","104"
"Littérature française","1993","60"
"Poésie","1993","55"
"Chansons françaises","1993","738"
"Roman","1994","44"
"Poésie","1994","70"
"Théâtre","1994","107"
"Littérature","1994","60"
"Chansons françaises","1994","995"
"Littérature française","1994","65"
"Chansons françaises","1995","504"
"Roman","1995","65"
"Littérature","1995","73"
"Poésie","1995","71"
"Théâtre","1995","98"
"Littérature française","1995","69"
"Chansons françaises","1996","751"
"Roman","1996","82"
"Littérature française","1996","63"
"Littérature","1996","89"
"Théâtre","1996","103"
"Poésie","1996","64"
"Littérature française","1997","63"
"Poésie","1997","89"
"Littérature","1997","84"
"Théâtre","1997","109"
"Roman","1997","99"
"Chansons françaises","1997","435"
"Roman","1998","126"
"Littérature","1998","83"
"Chansons françaises","1998","680"
"Littérature française","1998","72"
"Théâtre","1998","115"
"Poésie","1998","78"
"Poésie","1999","87"
"Roman","1999","116"
"Chansons françaises","1999","616"
"Littérature","1999","87"
"Littérature française","1999","77"
"Théâtre","1999","114"
"Littérature française","2000","61"
"Roman","2000","127"
"Poésie","2000","85"
"Littérature","2000","96"
"Chansons françaises","2000","766"
"Théâtre","2000","120"
"Littérature française","2001","51"
"Littérature","2001","95"
"Chansons françaises","2001","939"
"Poésie","2001","101"
"Théâtre","2001","113"
"Roman","2001","111"
"Littérature","2002","89"
"Roman","2002","91"
"Littérature française","2002","68"
"Chansons françaises","2002","564"
"Théâtre","2002","139"
"Poésie","2002","102"
"Roman","2003","98"
"Littérature","2003","91"
"Chansons françaises","2003","820"
"Poésie","2003","60"
"Littérature française","2003","66"
"Théâtre","2003","141"
"Roman","2004","96"
"Théâtre","2004","107"
"Poésie","2004","79"
"Littérature française","2004","53"
"Littérature","2004","69"
"Chansons françaises","2004","545"
"Roman","2005","82"
"Poésie","2005","68"
"Littérature française","2005","92"
"Chansons françaises","2005","593"
"Littérature","2005","83"
"Théâtre","2005","98"
"Littérature française","2006","65"
"Poésie","2006","77"
"Littérature","2006","103"
"Roman","2006","95"
"Théâtre","2006","112"
"Chansons françaises","2006","719"
"Chansons françaises","2007","429"
"Littérature","2007","88"
"Théâtre","2007","157"
"Poésie","2007","79"
"Littérature française","2007","88"
"Roman","2007","79"
"Chansons françaises","2008","783"
"Théâtre","2008","149"
"Poésie","2008","67"
"Littérature","2008","85"
"Roman","2008","76"
"Littérature française","2008","77"
"Poésie","2009","67"
"Théâtre","2009","133"
"Chansons françaises","2009","462"
"Littérature","2009","99"
"Littérature française","2009","76"
"Roman","2009","79"
"Théâtre","2010","114"
"Littérature française","2010","65"
"Roman","2010","82"
"Littérature","2010","92"
"Chansons françaises","2010","381"
"Poésie","2010","87"
"Théâtre","2011","149"
"Chansons françaises","2011","256"
"Roman","2011","91"
"Littérature","2011","100"
"Poésie","2011","89"
"Littérature française","2011","68"
"Poésie","2012","88"
"Roman","2012","96"
"Littérature","2012","90"
"Chansons françaises","2012","380"
"Théâtre","2012","151"
"Littérature française","2012","58"
"Littérature française","2013","66"
"Roman","2013","86"
"Poésie","2013","92"
"Chansons françaises","2013","329"
"Littérature","2013","113"
"Théâtre","2013","134"
"Poésie","2014","84"
"Roman","2014","105"
"Littérature","2014","96"
"Théâtre","2014","112"
"Littérature française","2014","57"
"Chansons françaises","2014","382"
"Poésie","2015","82"
"Roman","2015","109"
"Littérature","2015","110"
"Chansons françaises","2015","444"
"Théâtre","2015","146"
"Littérature française","2015","53"
"Littérature française","2016","66"
"Chansons françaises","2016","526"
"Littérature","2016","105"
"Théâtre","2016","147"
"Roman","2016","113"
"Poésie","2016","81"
"Roman","2017","82"
"Chansons françaises","2017","491"
"Poésie","2017","75"
"Littérature","2017","90"
"Littérature française","2017","46"
"Théâtre","2017","150"
"Littérature française","2018","46"
"Littérature","2018","102"
"Roman","2018","74"
"Chansons françaises","2018","569"
"Théâtre","2018","125"
"Poésie","2018","84"
"Chansons françaises","2019","287"
"Littérature française","2019","52"
"Littérature","2019","85"
"Théâtre","2019","113"
"Roman","2019","62"
"Poésie","2019","81"
"Poésie","2020","50"
"Littérature","2020","65"
"Chansons françaises","2020","90"
"Littérature française","2020","53"
"Théâtre","2020","95"
"Roman","2020","46"
"Poésie","2021","76"
"Théâtre","2021","92"
"Littérature","2021","59"
"Littérature française","2021","44"
"Chansons françaises","2021","59"
"Roman","2021","34"
"Roman","2022","44"
"Littérature","2022","65"
"Poésie","2022","63"
"Chansons françaises","2022","30"
"Théâtre","2022","86"
"Littérature française","2022","41"
"Poésie","2023","56"
"Littérature française","2023","49"
"Chansons françaises","2023","34"
"Théâtre","2023","68"
"Littérature","2023","60"
"Roman","2023","69"
"Poésie","2024","41"
"Théâtre","2024","65"
"Chansons françaises","2024","47"
"Roman","2024","29"
"Littérature française","2024","40"
"Littérature","2024","54"
"Théâtre","2025","21"
"Roman","2025","9"
"Littérature","2025","29"
"Chansons françaises","2025","12"
"Littérature française","2025","12"
"Poésie","2025","15"
